,id,value,feed_id,created_at,lat,lon,ele
11845,0EZVEYAY6NSGGBAZPCBPQVQF4Q,"{""temp"": ""27.04"", ""humid"": ""40"", ""light"": ""847""}",1839383,2022-04-01 02:38:48 UTC,,,
11846,0EZVEYD2Z8RT89PGM8RMXDFJ56,"{""temp"": ""27.04"", ""humid"": ""40"", ""light"": ""822""}",1839383,2022-04-01 02:38:55 UTC,,,
11847,0EZVEYFN255PKXSSDFCH27GH69,"{""temp"": ""27.04"", ""humid"": ""40"", ""light"": ""812""}",1839383,2022-04-01 02:39:03 UTC,,,
11848,0EZVEYHXEANPB4P52Y7WPQXSTK,"{""temp"": ""27.04"", ""humid"": ""39"", ""light"": ""815""}",1839383,2022-04-01 02:39:11 UTC,,,
11849,0EZVEYKHQ8GJJEF3TYKMZP8MQP,"{""temp"": ""27.03"", ""humid"": ""39"", ""light"": ""810""}",1839383,2022-04-01 02:39:16 UTC,,,
11850,0EZVEYNPHZ1WCYMHEGTZMMCMGM,"{""temp"": ""27.03"", ""humid"": ""39"", ""light"": ""765""}",1839383,2022-04-01 02:39:23 UTC,,,
11851,0EZVEYQVGTYC0XKFXXYQSBCADF,"{""temp"": ""27.03"", ""humid"": ""39"", ""light"": ""798""}",1839383,2022-04-01 02:39:30 UTC,,,
11852,0EZVEYT0GT594GKNW8W3CZBAGZ,"{""temp"": ""27.03"", ""humid"": ""40"", ""light"": ""768""}",1839383,2022-04-01 02:39:37 UTC,,,
11853,0EZVEYW2RRWDGCEMJVNN4VC366,"{""temp"": ""27.03"", ""humid"": ""40"", ""light"": ""745""}",1839383,2022-04-01 02:39:44 UTC,,,
11854,0EZVEYYHFAYX75YX8AVXP08P10,"{""temp"": ""27.03"", ""humid"": ""40"", ""light"": ""756""}",1839383,2022-04-01 02:39:52 UTC,,,
11855,0EZVEZ0PAYZFBAQ459ATWY4WFR,"{""temp"": ""27.03"", ""humid"": ""40"", ""light"": ""748""}",1839383,2022-04-01 02:39:59 UTC,,,
11856,0EZVEZE38PPQPY672K90EEHRVE,"{""temp"": ""27.03"", ""humid"": ""48"", ""light"": ""768""}",1839383,2022-04-01 02:40:43 UTC,,,
11857,0EZVEZG8AC29QCP3BCT3EPJAHY,"{""temp"": ""27.02"", ""humid"": ""47"", ""light"": ""738""}",1839383,2022-04-01 02:40:50 UTC,,,
11858,0EZVEZJD3EKYR90BHBWVENYDCF,"{""temp"": ""27.02"", ""humid"": ""45"", ""light"": ""745""}",1839383,2022-04-01 02:40:57 UTC,,,
11859,0EZVEZMHYDDXQSAWRX3360KM1T,"{""temp"": ""27.01"", ""humid"": ""44"", ""light"": ""741""}",1839383,2022-04-01 02:41:04 UTC,,,
11860,0EZVEZPPWXJ6RXJEXYW92CHY2Q,"{""temp"": ""27.01"", ""humid"": ""43"", ""light"": ""902""}",1839383,2022-04-01 02:41:11 UTC,,,
11861,0EZVEZRVQQH1SCA9ZMHG0EGQCD,"{""temp"": ""27"", ""humid"": ""42"", ""light"": ""907""}",1839383,2022-04-01 02:41:19 UTC,,,
